Data sent: 111111110101010100110110001111111100000010100100001010000011001000001010
Time: 722516900000, TX_OUT: 1
Time: 723516900000, TX_OUT: 1
Time: 724516900000, TX_OUT: 1
Time: 725516900000, TX_OUT: 1
Time: 726516900000, TX_OUT: 1
Time: 727516900000, TX_OUT: 1
Time: 728516900000, TX_OUT: 1
Time: 729516900000, TX_OUT: 1
Time: 730516900000, TX_OUT: 0
Time: 731516900000, TX_OUT: 1
Time: 732516900000, TX_OUT: 0
Time: 733516900000, TX_OUT: 1
Time: 734516900000, TX_OUT: 0
Time: 735516900000, TX_OUT: 1
Time: 736516900000, TX_OUT: 0
Time: 737516900000, TX_OUT: 1
Time: 738516900000, TX_OUT: 0
Time: 739516900000, TX_OUT: 0
Time: 740516900000, TX_OUT: 1
Time: 741516900000, TX_OUT: 1
Time: 742516900000, TX_OUT: 0
Time: 743516900000, TX_OUT: 1
Time: 744516900000, TX_OUT: 1
Time: 745516900000, TX_OUT: 0
Time: 746516900000, TX_OUT: 0
Time: 747516900000, TX_OUT: 0
Time: 748516900000, TX_OUT: 1
Time: 749516900000, TX_OUT: 1
Time: 750516900000, TX_OUT: 1
Time: 751516900000, TX_OUT: 1
Time: 752516900000, TX_OUT: 1
Time: 753516900000, TX_OUT: 1
Time: 754516900000, TX_OUT: 1
Time: 755516900000, TX_OUT: 1
Time: 756516900000, TX_OUT: 0
Time: 757516900000, TX_OUT: 0
Time: 758516900000, TX_OUT: 0
Time: 759516900000, TX_OUT: 0
Time: 760516900000, TX_OUT: 0
Time: 761516900000, TX_OUT: 0
Time: 762516900000, TX_OUT: 1
Time: 763516900000, TX_OUT: 0
Time: 764516900000, TX_OUT: 1
Time: 765516900000, TX_OUT: 0
Time: 766516900000, TX_OUT: 0
Time: 767516900000, TX_OUT: 1
Time: 768516900000, TX_OUT: 0
Time: 769516900000, TX_OUT: 0
Time: 770516900000, TX_OUT: 0
Time: 771516900000, TX_OUT: 0
Time: 772516900000, TX_OUT: 1
Time: 773516900000, TX_OUT: 0
Time: 774516900000, TX_OUT: 1
Time: 775516900000, TX_OUT: 0
Time: 776516900000, TX_OUT: 0
Time: 777516900000, TX_OUT: 0
Time: 778516900000, TX_OUT: 0
Time: 779516900000, TX_OUT: 0
Time: 780516900000, TX_OUT: 1
Time: 781516900000, TX_OUT: 1
Time: 782516900000, TX_OUT: 0
Time: 783516900000, TX_OUT: 0
Time: 784516900000, TX_OUT: 1
Time: 785516900000, TX_OUT: 0
Time: 786516900000, TX_OUT: 0
Time: 787516900000, TX_OUT: 0
Time: 788516900000, TX_OUT: 0
Time: 789516900000, TX_OUT: 0
Time: 790516900000, TX_OUT: 1
Time: 791516900000, TX_OUT: 0
Time: 792516900000, TX_OUT: 1
Time: 793516900000, TX_OUT: 0
Data sent: 111111110001111110011001001111111101101000110101100011111001001110101101
Time: 795516900000, TX_OUT: 1
Time: 796516900000, TX_OUT: 1
Time: 797516900000, TX_OUT: 1
Time: 798516900000, TX_OUT: 1
Time: 799516900000, TX_OUT: 1
Time: 800516900000, TX_OUT: 1
Time: 801516900000, TX_OUT: 1
Time: 802516900000, TX_OUT: 1
Time: 803516900000, TX_OUT: 0
Time: 804516900000, TX_OUT: 0
Time: 805516900000, TX_OUT: 0
Time: 806516900000, TX_OUT: 1
Time: 807516900000, TX_OUT: 1
Time: 808516900000, TX_OUT: 1
Time: 809516900000, TX_OUT: 1
Time: 810516900000, TX_OUT: 1
Time: 811516900000, TX_OUT: 1
Time: 812516900000, TX_OUT: 0
Time: 813516900000, TX_OUT: 0
Time: 814516900000, TX_OUT: 1
Time: 815516900000, TX_OUT: 1
Time: 816516900000, TX_OUT: 0
Time: 817516900000, TX_OUT: 0
Time: 818516900000, TX_OUT: 1
Time: 819516900000, TX_OUT: 0
Time: 820516900000, TX_OUT: 0
Time: 821516900000, TX_OUT: 1
Time: 822516900000, TX_OUT: 1
Time: 823516900000, TX_OUT: 1
Time: 824516900000, TX_OUT: 1
Time: 825516900000, TX_OUT: 1
Time: 826516900000, TX_OUT: 1
Time: 827516900000, TX_OUT: 1
Time: 828516900000, TX_OUT: 1
Time: 829516900000, TX_OUT: 0
Time: 830516900000, TX_OUT: 1
Time: 831516900000, TX_OUT: 1
Time: 832516900000, TX_OUT: 0
Time: 833516900000, TX_OUT: 1
Time: 834516900000, TX_OUT: 0
Time: 835516900000, TX_OUT: 0
Time: 836516900000, TX_OUT: 0
Time: 837516900000, TX_OUT: 1
Time: 838516900000, TX_OUT: 1
Time: 839516900000, TX_OUT: 0
Time: 840516900000, TX_OUT: 1
